rsi_period,rsi_overbought,rsi_oversold,atr_tp,atr_sl,total_profit,win_rate,max_drawdown
5,75,25,3,2.0,0.03628000000000009,0.48,-0.13997000000381377
5,75,25,3,2.5,0.03628000000000009,0.48,-0.13997000000381377
5,75,25,4,1.5,0.03628000000000009,0.48,-0.13997000000381377
5,75,25,4,2.0,0.03628000000000009,0.48,-0.13997000000381377
5,75,25,4,2.5,0.03628000000000009,0.48,-0.13997000000381377
5,75,30,2,1.5,0.03974000000000011,0.5,-0.14077999998698942
5,75,30,2,2.0,0.03974000000000011,0.5,-0.14077999998698942
5,75,30,2,2.5,0.03974000000000011,0.5,-0.14077999998698942
5,75,30,3,1.5,0.03974000000000011,0.5,-0.14077999998698942
5,75,30,3,2.0,0.03974000000000011,0.5,-0.14077999998698942
5,75,30,3,2.5,0.03974000000000011,0.5,-0.14077999998698942
5,75,30,4,1.5,0.03974000000000011,0.5,-0.14077999998698942
5,75,30,4,2.0,0.03974000000000011,0.5,-0.14077999998698942
5,75,30,4,2.5,0.03974000000000011,0.5,-0.14077999998698942
5,80,20,2,1.5,-0.020669999999999966,0.25,-0.031449999994947575
5,80,20,2,2.0,-0.020669999999999966,0.25,-0.031449999994947575
5,80,20,2,2.5,-0.020669999999999966,0.25,-0.031449999994947575
5,80,20,3,1.5,-0.020669999999999966,0.25,-0.031449999994947575
5,80,20,3,2.0,-0.020669999999999966,0.25,-0.031449999994947575
5,80,20,3,2.5,-0.020669999999999966,0.25,-0.031449999994947575
5,80,20,4,1.5,-0.020669999999999966,0.25,-0.031449999994947575
5,80,20,4,2.0,-0.020669999999999966,0.25,-0.031449999994947575
5,80,20,4,2.5,-0.020669999999999966,0.25,-0.031449999994947575
5,80,25,2,1.5,-0.005230000000000068,0.35294117647058826,-0.023239999994984828
5,80,25,2,2.0,-0.005230000000000068,0.35294117647058826,-0.023239999994984828
5,80,25,2,2.5,-0.005230000000000068,0.35294117647058826,-0.023239999994984828
